Category,DataWindow,H2H,Market,Type,Odds,TrueProb,EV_pct,N_matches,HitFreq
league_it,full history,COM - LEC,HT/FT 2/1,HTFT,37.4,0.027962,4.58,1359,1 in 35
league_it,full history,COM - TOR,Over 4.5,OU,7.64,0.136865,4.57,1359,1 in 7
league_it,full history,LAZ - CRE,HT/FT X/2,HTFT,15.8,0.066176,4.56,1360,1 in 15
league_it,full history,GEN - INT,CS 4-2,CS,203.0,0.005151,4.56,1359,1 in 194
league_it,full history,ROM - PIS,CS 1-2,CS,29.0,0.036056,4.56,1359,1 in 27
league_it,full history,LAZ - JUV,HT/FT X/X,HTFT,6.26,0.167035,4.56,1359,1 in 5
league_it,full history,JUV - UDI,CS 3-2,CS,24.5,0.042678,4.56,1359,1 in 23
league_it,full history,LEC - JUV,CS 4-1,CS,203.0,0.005151,4.56,1359,1 in 194
league_it,full history,INT - JUV,HT CS 2-1,HTCS,14.5,0.072112,4.56,1359,1 in 13
league_it,full history,ROM - LAZ,HT CS 3-0,HTCS,29.6,0.03532,4.55,1359,1 in 28
league_it,full history,COM - VER,HT CS 2-1,HTCS,12.8,0.081678,4.55,1359,1 in 12
league_it,full history,TOR - CAG,CS 4-0,CS,59.2,0.01766,4.55,1359,1 in 56
league_it,full history,VER - GEN,CS 1-4,CS,67.7,0.015441,4.54,1360,1 in 64
league_it,full history,MIL - SAS,HT/FT 1/X,HTFT,13.4,0.077999,4.52,1359,1 in 12
league_it,full history,BOL - UDI,Over 4.5,OU,21.2,0.049301,4.52,1359,1 in 20
league_it,full history,ROM - TOR,Away Win,1X2,6.7,0.155997,4.52,1359,1 in 6
league_it,full history,JUV - CAG,CS 0-2,CS,50.8,0.020573,4.51,1361,1 in 48
league_it,full history,PAR - BOL,CS 1-3,CS,23.3,0.044853,4.51,1360,1 in 22
league_it,full history,FIO - GEN,Away Win,1X2,3.36,0.311029,4.51,1360,1 in 3
league_it,full history,SAS - ROM,CS 2-3,CS,26.3,0.039735,4.5,1359,1 in 25
league_it,full history,GEN - BOL,CS 3-1,CS,26.3,0.039735,4.5,1359,1 in 25
league_it,full history,BOL - VER,CS 1-3,CS,52.6,0.019868,4.5,1359,1 in 50
league_it,full history,VER - CRE,CS 2-4,CS,142.0,0.007358,4.49,1359,1 in 135
league_it,full history,NAP - JUV,CS 3-2,CS,29.0,0.036029,4.49,1360,1 in 27
league_it,full history,CRE - INT,HT CS 0-3,HTCS,4.0,0.261221,4.49,1359,1 in 3
league_it,full history,INT - MIL,HT CS 0-2,HTCS,20.0,0.052244,4.49,1359,1 in 19
league_it,full history,LAZ - FIO,HT CS 1-2,HTCS,29.0,0.036029,4.49,1360,1 in 27
league_it,full history,FIO - MIL,CS 4-0,CS,203.0,0.005147,4.49,1360,1 in 194
league_it,full history,TOR - UDI,CS 1-4,CS,142.0,0.007358,4.49,1359,1 in 135
league_it,full history,NAP - LEC,CS 2-4,CS,355.0,0.002943,4.49,1359,1 in 339
league_it,full history,PAR - FIO,Away Win,1X2,2.61,0.400294,4.48,1359,1 in 2
league_it,full history,COM - ATA,HT CS 0-1,HTCS,4.64,0.225166,4.48,1359,1 in 4
league_it,full history,ATA - GEN,CS 2-2,CS,15.6,0.066961,4.46,1359,1 in 14
league_it,full history,JUV - ATA,HT/FT 1/2,HTFT,33.8,0.030905,4.46,1359,1 in 32
league_it,full history,LEC - PAR,Exact 4,ExactGoals,5.89,0.177336,4.45,1359,1 in 5
league_it,full history,JUV - SAS,Exact 5,ExactGoals,8.02,0.130243,4.45,1359,1 in 7
league_it,full history,PAR - VER,CS 3-1,CS,16.7,0.062546,4.45,1359,1 in 15
league_it,full history,COM - ROM,Exact 6,ExactGoals,21.2,0.049265,4.44,1360,1 in 20
league_it,full history,TOR - ROM,Exact 1,ExactGoals,5.28,0.197794,4.44,1360,1 in 5
league_it,full history,ATA - LAZ,Exact 4,ExactGoals,5.61,0.186166,4.44,1359,1 in 5
league_it,full history,ATA - ROM,HT/FT 2/X,HTFT,17.1,0.061074,4.44,1359,1 in 16
league_it,full history,NAP - VER,HT CS 2-1,HTCS,7.63,0.136865,4.43,1359,1 in 7
league_it,full history,LEC - UDI,Draw,1X2,3.28,0.318382,4.43,1360,1 in 3
league_it,full history,SAS - JUV,CS 0-5,CS,78.9,0.013235,4.43,1360,1 in 75
league_it,full history,GEN - ATA,CS 2-4,CS,78.9,0.013235,4.43,1360,1 in 75
league_it,full history,MIL - FIO,CS 4-0,CS,33.0,0.031641,4.42,1359,1 in 31
league_it,full history,LEC - PIS,HT CS 0-3,HTCS,129.0,0.008094,4.42,1359,1 in 123
