Category,H2H,Market,Type,Odds,TrueProb,EV_pct,HitFreq
league_en,CHE - BOU,HT/FT 2/2,HTFT,22.5,0.04695524578136464,5.65,1 in 21
league_en,EVE - BRE,HT/FT 1/2,HTFT,38.6,0.027366863905325445,5.64,1 in 36
league_en,CHE - BUR,Draw,1X2,4.39,0.24061810154525387,5.63,1 in 4
league_en,WOL - SUN,HT/FT 2/X,HTFT,15.5,0.06814814814814815,5.63,1 in 14
league_en,MNU - AST,HT/FT 1/X,HTFT,13.8,0.07652685798381163,5.61,1 in 13
league_en,ARS - NOT,Exact 0,ExactGoals,12.3,0.08586232420429311,5.61,1 in 11
league_en,ARS - NOT,CS 0-0,CS,12.3,0.08586232420429311,5.61,1 in 11
league_en,MNU - WOL,Exact 0,ExactGoals,11.0,0.09601181683899557,5.61,1 in 10
league_en,MNU - WOL,CS 0-0,CS,11.0,0.09601181683899557,5.61,1 in 10
league_en,ARS - CHE,HT/FT X/1,HTFT,11.6,0.09104258443465492,5.61,1 in 10
league_en,BUR - MNC,Exact 0,ExactGoals,11.0,0.09601181683899557,5.61,1 in 10
league_en,BUR - MNC,CS 0-0,CS,11.0,0.09601181683899557,5.61,1 in 10
league_en,FUL - AST,Exact 4,ExactGoals,5.18,0.2038547071905115,5.6,1 in 4
league_en,NOT - TOT,CS 1-2,CS,17.9,0.058997050147492625,5.6,1 in 16
league_en,CRY - EVE,Exact 5,ExactGoals,13.2,0.08,5.6,1 in 12
league_en,NEW - SUN,CS 2-3,CS,57.4,0.01839587932303164,5.59,1 in 54
league_en,BUR - TOT,CS 1-2,CS,20.7,0.050997782705099776,5.57,1 in 19
league_en,MNU - BRE,CS 2-4,CS,95.7,0.011029411764705883,5.55,1 in 90
league_en,BHA - FUL,HT CS 3-0,HTCS,53.2,0.019838354151359296,5.54,1 in 50
league_en,BUR - AST,CS 5-0,CS,477.0,0.0022123893805309734,5.53,1 in 452
league_en,NEW - BHA,HT/FT X/2,HTFT,17.4,0.060650887573964495,5.53,1 in 16
league_en,NEW - FUL,CS 5-1,CS,95.4,0.011061946902654867,5.53,1 in 90
league_en,BRE - WOL,HT/FT 1/2,HTFT,55.4,0.01904761904761905,5.52,1 in 52
league_en,WOL - CHE,CS 3-0,CS,52.8,0.01998519615099926,5.52,1 in 50
league_en,SUN - NEW,HT/FT X/2,HTFT,7.91,0.13338246131171702,5.51,1 in 7
league_en,MNC - SUN,Draw,1X2,3.64,0.28984432913269087,5.5,1 in 3
league_en,WOL - AST,CS 2-3,CS,36.6,0.028824833702882482,5.5,1 in 34
league_en,FUL - TOT,HT/FT X/X,HTFT,5.59,0.18873445501097294,5.5,1 in 5
league_en,LEE - NEW,CS 1-4,CS,49.4,0.021354933726067747,5.49,1 in 46
league_en,CRY - NOT,HT CS 0-2,HTCS,14.8,0.07127112417340191,5.48,1 in 14
league_en,EVE - BOU,HT CS 3-0,HTCS,38.6,0.027326440177252585,5.48,1 in 36
league_en,AST - BOU,CS 1-3,CS,102.0,0.0103397341211226,5.47,1 in 96
