league,match_name,outcome,mu_phat,fair_prob,raw_odds,mu_edge,bin17_edge,bin27_edge,min_edge,state_17_id,state_27_id,oos_roi,oos_t_stat,n_train,n_test
league_es,ALV - ATM,gg_ng_gg_val,0.455768,0.3817,2.62,0.074068,0.061628,0.050164,0.050164,STATE_17_19,STATE_27_17,0.109175,2.456,1978.0,848.0
league_en,LIV - MNU,1x2_1_val,0.498934,0.4444,2.25,0.054534,0.049425,0.089079,0.049425,STATE_17_05,STATE_27_03,0.097041,2.508,1969.0,845.0
league_es,ESP - ALV,o_u_4_5_ov_val,0.070393,0.0216,46.2,0.048793,0.068475,0.056253,0.048793,STATE_17_02,STATE_27_01,1.231095,3.622,1978.0,849.0
league_en,SUN - FUL,1x2_2_val,0.353693,0.2833,3.53,0.070393,0.062461,0.048722,0.048722,STATE_17_02,STATE_27_02,0.249077,4.29,1971.0,845.0
league_es,RAY - ELC,1x2_2_val,0.292536,0.1957,5.11,0.096836,0.112238,0.048473,0.048473,STATE_17_02,STATE_27_06,0.384335,4.931,1978.0,849.0
league_es,RAY - SEV,1x2_2_val,0.338521,0.2375,4.21,0.101021,0.098827,0.047433,0.047433,STATE_17_04,STATE_27_19,0.165312,2.557,1978.0,849.0
league_es,OSA - ATH,o_u_4_5_ov_val,0.06971,0.0223,44.9,0.04741,0.053617,0.056549,0.04741,STATE_17_21,STATE_27_09,1.117925,3.42,1978.0,848.0
league_es,GET - LEV,o_u_1_5_un_val,0.52017,0.2899,3.45,0.23027,0.053002,0.047337,0.047337,STATE_17_05,STATE_27_01,0.505307,8.6,1978.0,848.0
league_es,ATH - RMA,o_u_3_5_un_val,0.896003,0.7042,1.42,0.191803,0.047135,0.075443,0.047135,STATE_17_08,STATE_27_16,0.160754,8.539,1978.0,849.0
league_it,LEC - NAP,o_u_4_5_ov_val,0.203396,0.1567,6.38,0.046696,0.048022,0.047849,0.046696,STATE_17_17,STATE_27_19,0.247444,2.849,1978.0,849.0
league_it,LEC - PAR,gg_ng_gg_val,0.551663,0.4831,2.07,0.068563,0.05287,0.046502,0.046502,STATE_17_01,STATE_27_02,0.071616,2.016,1978.0,848.0
league_en,ARS - FUL,o_u_2_5_un_val,0.446372,0.4,2.5,0.046372,0.046327,0.050263,0.046327,STATE_17_04,STATE_27_06,0.108491,2.544,1977.0,848.0
league_en,NOT - EVE,1x2_1_val,0.489196,0.4082,2.45,0.080996,0.047606,0.04622,0.04622,STATE_17_01,STATE_27_04,0.133884,3.19,1976.0,847.0
league_it,CAG - NAP,o_u_2_5_un_val,0.351609,0.3058,3.27,0.045809,0.139643,0.065416,0.045809,STATE_17_08,STATE_27_19,0.120813,2.268,1978.0,849.0
league_it,COM - BOL,double_chance_x2_val,0.618458,0.5051,1.98,0.113358,0.045605,0.073541,0.045605,STATE_17_02,STATE_27_01,0.156749,4.68,1979.0,849.0
league_it,UDI - SAS,gg_ng_gg_val,0.51751,0.4695,2.13,0.04801,0.057729,0.045373,0.045373,STATE_17_02,STATE_27_01,0.113922,3.12,1978.0,849.0
league_en,LEE - NOT,1x2_2_val,0.328496,0.2833,3.53,0.045196,0.062461,0.048722,0.045196,STATE_17_02,STATE_27_02,0.123939,2.195,1977.0,848.0
league_de,STU - BRE,double_chance_x2_val,0.545023,0.4926,2.03,0.052423,0.052047,0.044491,0.044491,STATE_17_02,STATE_27_03,0.058898,2.529,4423.0,1896.0
league_es,BAR - ATH,o_u_3_5_un_val,0.69802,0.6536,1.53,0.04442,0.075087,0.046959,0.04442,STATE_17_06,STATE_27_33,0.052438,2.155,1979.0,849.0
league_it,LEC - TOR,o_u_3_5_ov_val,0.270605,0.211,4.74,0.059605,0.052618,0.044369,0.044369,STATE_17_01,STATE_27_02,0.150106,2.152,1978.0,849.0
league_it,SAS - LEC,o_u_3_5_ov_val,0.271762,0.2024,4.94,0.069362,0.063776,0.04424,0.04424,STATE_17_02,STATE_27_01,0.188396,2.598,1978.0,848.0
league_es,OSA - RMA,o_u_4_5_ov_val,0.126238,0.0662,15.1,0.060038,0.046561,0.043787,0.043787,STATE_17_13,STATE_27_20,0.529564,3.387,1979.0,849.0
league_en,BOU - LIV,double_chance_x2_val,0.799929,0.7463,1.34,0.053629,0.043405,0.052274,0.043405,STATE_17_11,STATE_27_13,0.040638,2.118,1973.0,846.0
league_en,LEE - LIV,1x2_2_val,0.558345,0.4878,2.05,0.070545,0.043363,0.05421,0.043363,STATE_17_11,STATE_27_13,0.219376,6.351,1979.0,849.0
league_it,LAZ - TOR,o_u_4_5_ov_val,0.124823,0.0813,12.3,0.043523,0.050135,0.043284,0.043284,STATE_17_06,STATE_27_13,0.434276,3.205,1979.0,849.0
league_en,MNU - ARS,1x2_1_val,0.327331,0.2841,3.52,0.043231,0.070941,0.08849,0.043231,STATE_17_02,STATE_27_08,0.122259,2.173,1982.0,850.0
league_it,ROM - LAZ,double_chance_x2_val,0.531659,0.4808,2.08,0.050859,0.069905,0.04312,0.04312,STATE_17_02,STATE_27_05,0.077974,2.186,1978.0,849.0
league_it,UDI - GEN,o_u_1_5_un_val,0.351734,0.2591,3.86,0.092634,0.042993,0.042619,0.042619,STATE_17_05,STATE_27_10,0.188042,3.073,1978.0,848.0
league_de,MGB - BVB,1x2_1_val,0.27113,0.2227,4.49,0.04843,0.055421,0.041961,0.041961,STATE_17_04,STATE_27_07,0.127236,2.846,4422.0,1896.0
league_it,LEC - GEN,1x2_2_val,0.322718,0.2809,3.56,0.041818,0.071191,0.069904,0.041818,STATE_17_01,STATE_27_02,0.175472,3.052,1978.0,848.0
league_de,FRA - HOF,1x2_1_val,0.527615,0.4651,2.15,0.062515,0.041712,0.080538,0.041712,STATE_17_05,STATE_27_04,0.062526,2.533,4423.0,1896.0
league_es,ATH - RSO,o_u_2_5_un_val,0.562633,0.5102,1.96,0.052433,0.04055,0.052598,0.04055,STATE_17_03,STATE_27_06,0.077075,2.302,1978.0,848.0
